1,142
1,5
10003,85
10005,119
10009,156
10011,146
10013,35
10015,61
10019,0
10019,34
10022,15
10024,93
10028,143
10030,142
10030,87
10032,52
10032,87
10037,76
10039,5
10039,91
1004,116
10051,33
10054,120
10054,133
10054,19
1006,32
10061,39
10068,92
10069,133
10070,143
10070,90
10073,74
10074,90
10077,143
10082,60
10082,87
10086,48
10099,133
10109,22
1011,14
10111,82
10113,120
10114,91
10120,121
10120,48
10120,7
10122,127
10122,87
10126,101
10128,32
10130,15
10132,1
10134,116
10135,101
10136,155
10138,73
10140,139
10150,116
10159,32
10166,124
10166,1
10166,90
10169,128
1018,38
1018,9
10186,119
10189,124
10193,57
10195,14
10198,79
102,76
10200,68
10207,7
10210,104
10213,135
10216,74
10218,43
10222,43
10224,92
10227,11
10227,57
10232,76
10233,85
10235,30
10239,0
10239,133
10239,155
10240,121
10248,133
10252,0
10253,34
10257,85
10259,87
10259,93
10261,39
10263,93
10264,124
10266,43
10267,127
10269,90
1027,128
1027,34
1027,38
10273,147
10282,74
10283,128
10284,14
10290,33
10293,101
10294,116
10302,120
10310,19
10312,33
10315,155
10315,91
10318,35
1032,34
10322,34
10323,82
10334,156
10336,146
10339,81
10343,0
10343,43
10343,96
10345,101
10345,127
10347,48
10349,146
1035,0
10351,14
10351,19
1036,5
10365,133
10367,53
10369,82
10373,116
10373,143
10373,156
10379,142
1038,48
10380,0
10380,97
10381,156
10384,82
10385,91
10389,39
10395,133
104,90
10404,9
10407,120
10407,22
10408,19
10409,25
10420,143
10422,155
10424,101
10424,14
10424,56
10427,82
10436,76
10439,85
10441,104
10441,39
10445,119
10446,23
10447,61
1045,17
10452,137
10454,0
10462,139
10463,56
10464,116
10464,128
10464,139
10464,15
10464,19
10466,101
10466,19
1047,127
10470,34
10477,137
10477,97
10487,119
10487,93
10491,56
10495,97
10496,97
10497,90
10500,82
10502,96
10506,35
10506,56
1051,74
10511,15
10516,137
10516,35
10520,68
10520,79
10524,101
10524,120
10526,68
10533,22
10536,43
10537,79
1054,79
10540,5
10549,143
10549,22
10558,73
10565,101
10566,76
10572,19
10580,121
10582,119
10587,155
1059,60
10591,11
10591,1
10599,128
1060,33
10600,79
10607,153
10610,93
10613,119
10613,92
10614,43
10618,116
10620,76
10623,25
10626,35
10629,56
10631,18
10631,82
10632,22
10636,22
10637,127
10638,39
1064,19
10641,60
10650,82
10651,35
10651,48
10652,139
10653,22
10655,23
10662,128
10666,0
10669,137
1067,119
1067,143
10672,143
10675,82
10679,76
10682,127
10683,0
10689,87
10691,11
10693,119
10693,53
10694,87
10697,142
10697,93
10698,87
107,93
1070,90
10700,143
10704,43
10707,92
10710,68
10716,1
10723,90
10726,79
1073,22
10731,74
10731,82
10735,91
10736,121
10736,153
10737,17
10740,87
10740,91
10743,7
10744,94
10748,79
10749,79
10750,81
10752,92
1076,33
10767,139
10768,19
10768,81
1077,7
10773,9
1078,116
10780,19
10780,82
10787,146
10787,34
10792,97
10796,76
10796,81
10799,143
10802,22
10803,33
10805,155
10805,97
10806,17
10809,143
10811,7
10814,74
10821,101
10822,34
10827,0
10828,38
10829,92
1083,139
10843,15
10845,32
10848,127
1085,11
1085,119
10850,32
10859,116
1086,60
10868,92
10872,85
10878,73
10886,77
10890,33
10892,94
10897,137
10898,5
109,81
109,87
1090,87
10905,0
10907,82
10909,101
1091,91
10911,96
10916,142
10916,19
10919,91
10925,91
10927,11
10929,18
10935,156
10935,7
10936,124
10937,101
1094,43
10949,156
10950,127
10951,146
10955,53
10956,18
10967,35
1097,35
10971,119
10976,92
10976,97
10977,92
10979,82
10982,155
10984,121
10986,142
10986,38
10987,139
1099,104
1099,11
1099,124
1099,59
10992,137
10992,7
10999,127
11001,57
11001,85
11002,68
11006,128
11008,15
11013,14
11016,101
11017,139
11017,92
11019,116
11019,23
1104,17
11048,124
11050,25
11052,155
11053,91
11057,74
11058,116
11058,90
11059,18
11060,43
11060,53
11063,23
11063,74
11064,34
11071,53
11074,48
1108,87
11081,19
11084,127
11087,39
11091,5
11092,15
11100,60
11102,60
11102,92
11112,137
11112,79
11113,81
11115,43
11115,48
11115,93
11119,146
11121,81
11124,14
11124,155
11137,144
11137,91
11144,49
11144,85
11148,101
11150,92
11155,38
11157,128
11157,133
11161,19
11162,127
11163,139
11168,92
1117,143
1117,155
11171,82
11172,5
11172,56
11175,25
11178,11
11178,79
11178,93
11179,34
11181,43
11186,32
11186,96
11187,68
11188,104
11189,85
11190,19
11190,87
11193,33
11195,80
11199,85
112,144
11202,121
11202,96
11204,144
11205,43
1121,14
11212,82
11213,104
11213,155
11213,17
11215,43
11217,74
11225,57
11230,82
11231,143
11234,17
11245,89
11256,56
11256,94
11257,1
11258,11
11258,139
11264,92
11267,5
11272,120
11273,32
11276,103
11281,34
11286,104
11288,123
11288,96
1129,156
11294,39
11295,142
11296,57
11296,82
113,76
11300,73
11310,127
11310,14
11310,53
11322,92
11323,87
11326,127
11327,61
11328,120
1133,133
1133,34
11330,5
11339,35
11348,137
11348,93
11349,35
11351,116
11351,81
11353,22
11363,89
11367,137
11367,14
1137,104
1137,119
11372,143
11378,35
11380,127
11380,68
11383,48
11385,155
11386,60
11387,35
11389,121
11397,57
11397,92
11405,23
11417,15
11422,87
11424,128
11424,39
11425,1
11425,39
11428,92
11429,17
1143,121
11431,101
11431,81
11432,137
11432,25
11432,93
11434,96
11436,155
11436,43
11440,119
11442,11
11442,91
11444,143
11444,68
11450,96
11454,156
11455,119
